Model,AUC,Sensitivity,Specificity,PPV,NPV,Accuracy,F1-Score,Youden Index
SVM,0.8444783573806881,0.7358490566037735,0.8014705882352942,0.5909090909090909,0.8861788617886179,0.783068783068783,0.6554621848739496,0.5373196448390676
Random Forest Optimized,0.8442008879023308,0.660377358490566,0.8823529411764706,0.6862745098039216,0.8695652173913043,0.8201058201058201,0.6730769230769231,0.5427302996670367
Random Forest,0.8423973362930077,0.6981132075471698,0.8676470588235294,0.6727272727272727,0.8805970149253731,0.8201058201058201,0.6851851851851852,0.5657602663706993
Voting Soft,0.8417036625971144,0.7169811320754716,0.8308823529411765,0.6229508196721312,0.8828125,0.798941798941799,0.6666666666666666,0.5478634850166482
XGBoost Optimized,0.8397613762486126,0.7735849056603774,0.7794117647058824,0.5774647887323944,0.8983050847457628,0.7777777777777778,0.6612903225806451,0.5529966703662597
XGBoost,0.8349056603773585,0.7735849056603774,0.7426470588235294,0.5394736842105263,0.8938053097345132,0.7513227513227513,0.6356589147286822,0.5162319644839068
LightGBM Optimized,0.8344894561598224,0.660377358490566,0.8308823529411765,0.603448275862069,0.8625954198473282,0.783068783068783,0.6306306306306306,0.4912597114317425
Logistic Regression,0.8322697003329633,0.7547169811320755,0.7867647058823529,0.5797101449275363,0.8916666666666667,0.7777777777777778,0.6557377049180327,0.5414816870144286
Stacking,0.8317147613762487,0.6226415094339622,0.8823529411764706,0.673469387755102,0.8571428571428571,0.8095238095238095,0.6470588235294118,0.5049944506104329
LightGBM,0.8314372918978912,0.6981132075471698,0.8529411764705882,0.6491228070175439,0.8787878787878788,0.8095238095238095,0.6727272727272727,0.551054384017758
AdaBoost,0.8301886792452831,0.8113207547169812,0.7573529411764706,0.5657894736842105,0.911504424778761,0.7724867724867724,0.6666666666666666,0.5686736958934517
Extra Trees,0.8282463928967814,0.6981132075471698,0.8529411764705882,0.6491228070175439,0.8787878787878788,0.8095238095238095,0.6727272727272727,0.551054384017758
Neural Network,0.8232519422863485,0.6415094339622641,0.8088235294117647,0.5666666666666667,0.8527131782945736,0.7619047619047619,0.6017699115044248,0.45033296337402895
Naive Bayes,0.8204772475027746,0.7169811320754716,0.8308823529411765,0.6229508196721312,0.8828125,0.798941798941799,0.6666666666666666,0.5478634850166482
KNN,0.7849611542730299,0.6415094339622641,0.7205882352941176,0.4722222222222222,0.8376068376068376,0.6984126984126984,0.544,0.36209766925638176
Decision Tree,0.6858351831298556,0.5283018867924528,0.8235294117647058,0.5384615384615384,0.8175182481751825,0.7407407407407407,0.5333333333333333,0.3518312985571588
